用户ID,点位ID,点位信息,文物类型,巡检情况,风险问题,整改建议,时间
1001,P001,壁画展厅A区 | 馆藏壁画 | 恒温恒湿展柜,壁画,温度:21℃\n相对湿度:47%\n光照:43Lx\n本月巡检:4次,局部表面轻微积尘\n展柜密封条老化迹象\n未发现渗水和明显起甲,清洁展柜内部积尘\n复核展柜密封条\n保持湿度40%-50%稳定\n下月重点观察起甲、粉化和水渍痕迹,2025-01
1004,P006,装裱修复室E区 | 纸质文物修复 | 技术用房,装裱修复室,本月巡检:5次\n通风设施:运行正常\n易燃试剂台账:已更新\n日用量抽查:基本符合要求,少量清洗试剂临时放置时间偏长\n废弃擦拭材料回收桶标识不够醒目\n未见明火作业,严格执行试剂限量领用\n完善废弃材料回收标识\n保持通风设施运行\n修复操作后及时清理工作台面,2025-04
1004,P007,博物馆陈列展览厅F区 | 临时展览 | 多媒体展示,陈列展览厅,本月巡检:4次\n疏散通道:基本畅通\n应急照明:抽测正常\n展柜照明:冷光源,临展布线局部整理不足\n一处宣传灯箱距装饰材料较近\n展厅高峰时段局部拥堵,规范临时电气线路敷设\n调整灯箱与可燃装饰材料距离\n高峰时段加强限流和疏导\n复核疏散指示标志可见性,2025-04
1004,P008,石刻展区G区 | 室外石刻 | 防护棚展示,石刻,本月巡检:3次\n防护棚排水:基本正常\n表面污染:轻微\n周边植被:已修剪,局部排水沟有落叶堆积\n石刻表面存在轻微风化痕迹\n未见人为刻划新增痕迹,清理排水沟落叶\n继续观察石刻风化趋势\n加强周边巡查和标识提醒\n避免直接接触石刻表面使用化学材料,2025-04
1004,P009,馆藏金属器展柜H区 | 青铜器 | 恒湿展柜,金属器,温度:20℃\n相对湿度:42%\n展柜密封:正常\n本月巡检:4次,展柜内湿度处于推荐范围\n个别展托材料老化\n未见新增锈蚀点,保持相对湿度40%-50%\n更换老化展托材料\n定期复核展柜密封性\n持续记录金属表面状态,2025-04
1004,P010,文物建筑周边环境I区 | 古建筑群 | 室外保护范围,文物建筑周边环境,本月巡检:5次\n消防车通道:局部临停1次\n室外消火栓:抽查正常\n防火间距:基本未占用,周边个别区域临时堆放木料\n消防车通道偶发临时停车\n防火提示标识有褪色,清理保护范围内临时木料\n加强消防车通道巡查\n更新褪色防火提示标识\n节假日前开展专项检查,2025-04
1005,P001,壁画展厅A区 | 馆藏壁画 | 恒温恒湿展柜,壁画,温度:20℃\n相对湿度:46%\n光照:46Lx\n本月巡检:4次,局部表面轻微积尘\n展柜密封条老化迹象\n未发现渗水和明显起甲,清洁展柜内部积尘\n复核展柜密封条\n保持湿度40%-50%稳定\n下月重点观察起甲、粉化和水渍痕迹,2025-04
1005,P002,木质文物库房B区 | 馆藏木器 | 密集柜存放,木质文物,温度:20℃\n相对湿度:56%\n本月巡检:3次\n虫害诱捕板:未见集中异常,库房角落有轻微积尘\n一组密集柜通风间距偏小\n未发现霉斑和新鲜虫蛀孔,保持相对湿度50%-60%\n清理柜体周边积尘\n优化密集柜通风间距\n继续进行防虫、防霉监测,2025-04
1005,P003,泥质佛像展厅C区 | 彩绘泥塑 | 半开放展陈,泥质佛像雕塑,温度:20℃\n相对湿度:47%\n光照:48Lx\n本月巡检:4次,表面存在少量积尘\n底座附近未见新增水渍\n一处细小裂隙需持续观察,避免阳光直射和强光照射\n保持湿度40%-50%稳定\n对裂隙和起甲部位建立影像记录\n必要时请修复人员复核,2025-04
1005,P004,文物建筑正殿 | 木结构建筑 | 游客开放区,文物建筑,本月巡检:6次\n消防通道:畅通\n灭火器压力:正常\n微型消防站检查:1次,香火区周边临时堆放少量杂物\n局部可燃织物靠近照明线路\n演练记录填写不完整,清理香火区周边杂物\n调整织物与照明线路安全距离\n补齐微型消防站演练记录\n加强明火使用现场看护,2025-04
1005,P005,博物馆藏品库D区 | 纸质书画 | 独立库房,纸质书画,温度:20℃\n相对湿度:53%\n光照:常闭避光\n本月巡检:4次,门禁记录完整\n库房未见渗漏\n一处空调冷凝水管保温层老化,维持相对湿度50%-60%\n检修冷凝水管保温层\n继续执行避光保存\n复核库房防潮和防水措施,2025-04
1005,P006,装裱修复室E区 | 纸质文物修复 | 技术用房,装裱修复室,本月巡检:5次\n通风设施:运行正常\n易燃试剂台账:已更新\n日用量抽查:基本符合要求,少量清洗试剂临时放置时间偏长\n废弃擦拭材料回收桶标识不够醒目\n未见明火作业,严格执行试剂限量领用\n完善废弃材料回收标识\n保持通风设施运行\n修复操作后及时清理工作台面,2025-04
1005,P007,博物馆陈列展览厅F区 | 临时展览 | 多媒体展示,陈列展览厅,本月巡检:4次\n疏散通道:基本畅通\n应急照明:抽测正常\n展柜照明:冷光源,临展布线局部整理不足\n一处宣传灯箱距装饰材料较近\n展厅高峰时段局部拥堵,规范临时电气线路敷设\n调整灯箱与可燃装饰材料距离\n高峰时段加强限流和疏导\n复核疏散指示标志可见性,2025-04
1005,P008,石刻展区G区 | 室外石刻 | 防护棚展示,石刻,本月巡检:3次\n防护棚排水:基本正常\n表面污染:轻微\n周边植被:已修剪,局部排水沟有落叶堆积\n石刻表面存在轻微风化痕迹\n未见人为刻划新增痕迹,清理排水沟落叶\n继续观察石刻风化趋势\n加强周边巡查和标识提醒\n避免直接接触石刻表面使用化学材料,2025-04
1005,P009,馆藏金属器展柜H区 | 青铜器 | 恒湿展柜,金属器,温度:20℃\n相对湿度:42%\n展柜密封:正常\n本月巡检:4次,展柜内湿度处于推荐范围\n个别展托材料老化\n未见新增锈蚀点,保持相对湿度40%-50%\n更换老化展托材料\n定期复核展柜密封性\n持续记录金属表面状态,2025-04
1005,P010,文物建筑周边环境I区 | 古建筑群 | 室外保护范围,文物建筑周边环境,本月巡检:5次\n消防车通道:局部临停1次\n室外消火栓:抽查正常\n防火间距:基本未占用,周边个别区域临时堆放木料\n消防车通道偶发临时停车\n防火提示标识有褪色,清理保护范围内临时木料\n加强消防车通道巡查\n更新褪色防火提示标识\n节假日前开展专项检查,2025-04
1006,P001,壁画展厅A区 | 馆藏壁画 | 恒温恒湿展柜,壁画,温度:20℃\n相对湿度:46%\n光照:46Lx\n本月巡检:4次,局部表面轻微积尘\n展柜密封条老化迹象\n未发现渗水和明显起甲,清洁展柜内部积尘\n复核展柜密封条\n保持湿度40%-50%稳定\n下月重点观察起甲、粉化和水渍痕迹,2025-04
1006,P002,木质文物库房B区 | 馆藏木器 | 密集柜存放,木质文物,温度:20℃\n相对湿度:56%\n本月巡检:3次\n虫害诱捕板:未见集中异常,库房角落有轻微积尘\n一组密集柜通风间距偏小\n未发现霉斑和新鲜虫蛀孔,保持相对湿度50%-60%\n清理柜体周边积尘\n优化密集柜通风间距\n继续进行防虫、防霉监测,2025-04
1006,P003,泥质佛像展厅C区 | 彩绘泥塑 | 半开放展陈,泥质佛像雕塑,温度:20℃\n相对湿度:47%\n光照:48Lx\n本月巡检:4次,表面存在少量积尘\n底座附近未见新增水渍\n一处细小裂隙需持续观察,避免阳光直射和强光照射\n保持湿度40%-50%稳定\n对裂隙和起甲部位建立影像记录\n必要时请修复人员复核,2025-04
1006,P004,文物建筑正殿 | 木结构建筑 | 游客开放区,文物建筑,本月巡检:6次\n消防通道:畅通\n灭火器压力:正常\n微型消防站检查:1次,香火区周边临时堆放少量杂物\n局部可燃织物靠近照明线路\n演练记录填写不完整,清理香火区周边杂物\n调整织物与照明线路安全距离\n补齐微型消防站演练记录\n加强明火使用现场看护,2025-04
1006,P005,博物馆藏品库D区 | 纸质书画 | 独立库房,纸质书画,温度:20℃\n相对湿度:53%\n光照:常闭避光\n本月巡检:4次,门禁记录完整\n库房未见渗漏\n一处空调冷凝水管保温层老化,维持相对湿度50%-60%\n检修冷凝水管保温层\n继续执行避光保存\n复核库房防潮和防水措施,2025-04
1006,P006,装裱修复室E区 | 纸质文物修复 | 技术用房,装裱修复室,本月巡检:5次\n通风设施:运行正常\n易燃试剂台账:已更新\n日用量抽查:基本符合要求,少量清洗试剂临时放置时间偏长\n废弃擦拭材料回收桶标识不够醒目\n未见明火作业,严格执行试剂限量领用\n完善废弃材料回收标识\n保持通风设施运行\n修复操作后及时清理工作台面,2025-04
1006,P007,博物馆陈列展览厅F区 | 临时展览 | 多媒体展示,陈列展览厅,本月巡检:4次\n疏散通道:基本畅通\n应急照明:抽测正常\n展柜照明:冷光源,临展布线局部整理不足\n一处宣传灯箱距装饰材料较近\n展厅高峰时段局部拥堵,规范临时电气线路敷设\n调整灯箱与可燃装饰材料距离\n高峰时段加强限流和疏导\n复核疏散指示标志可见性,2025-04
1006,P008,石刻展区G区 | 室外石刻 | 防护棚展示,石刻,本月巡检:3次\n防护棚排水:基本正常\n表面污染:轻微\n周边植被:已修剪,局部排水沟有落叶堆积\n石刻表面存在轻微风化痕迹\n未见人为刻划新增痕迹,清理排水沟落叶\n继续观察石刻风化趋势\n加强周边巡查和标识提醒\n避免直接接触石刻表面使用化学材料,2025-04
1006,P009,馆藏金属器展柜H区 | 青铜器 | 恒湿展柜,金属器,温度:20℃\n相对湿度:42%\n展柜密封:正常\n本月巡检:4次,展柜内湿度处于推荐范围\n个别展托材料老化\n未见新增锈蚀点,保持相对湿度40%-50%\n更换老化展托材料\n定期复核展柜密封性\n持续记录金属表面状态,2025-04
1006,P010,文物建筑周边环境I区 | 古建筑群 | 室外保护范围,文物建筑周边环境,本月巡检:5次\n消防车通道:局部临停1次\n室外消火栓:抽查正常\n防火间距:基本未占用,周边个别区域临时堆放木料\n消防车通道偶发临时停车\n防火提示标识有褪色,清理保护范围内临时木料\n加强消防车通道巡查\n更新褪色防火提示标识\n节假日前开展专项检查,2025-04
1007,P001,壁画展厅A区 | 馆藏壁画 | 恒温恒湿展柜,壁画,温度:20℃\n相对湿度:46%\n光照:46Lx\n本月巡检:4次,局部表面轻微积尘\n展柜密封条老化迹象\n未发现渗水和明显起甲,清洁展柜内部积尘\n复核展柜密封条\n保持湿度40%-50%稳定\n下月重点观察起甲、粉化和水渍痕迹,2025-04
1007,P002,木质文物库房B区 | 馆藏木器 | 密集柜存放,木质文物,温度:20℃\n相对湿度:56%\n本月巡检:3次\n虫害诱捕板:未见集中异常,库房角落有轻微积尘\n一组密集柜通风间距偏小\n未发现霉斑和新鲜虫蛀孔,保持相对湿度50%-60%\n清理柜体周边积尘\n优化密集柜通风间距\n继续进行防虫、防霉监测,2025-04
1007,P003,泥质佛像展厅C区 | 彩绘泥塑 | 半开放展陈,泥质佛像雕塑,温度:20℃\n相对湿度:47%\n光照:48Lx\n本月巡检:4次,表面存在少量积尘\n底座附近未见新增水渍\n一处细小裂隙需持续观察,避免阳光直射和强光照射\n保持湿度40%-50%稳定\n对裂隙和起甲部位建立影像记录\n必要时请修复人员复核,2025-04
1007,P004,文物建筑正殿 | 木结构建筑 | 游客开放区,文物建筑,本月巡检:6次\n消防通道:畅通\n灭火器压力:正常\n微型消防站检查:1次,香火区周边临时堆放少量杂物\n局部可燃织物靠近照明线路\n演练记录填写不完整,清理香火区周边杂物\n调整织物与照明线路安全距离\n补齐微型消防站演练记录\n加强明火使用现场看护,2025-04
1007,P005,博物馆藏品库D区 | 纸质书画 | 独立库房,纸质书画,温度:20℃\n相对湿度:53%\n光照:常闭避光\n本月巡检:4次,门禁记录完整\n库房未见渗漏\n一处空调冷凝水管保温层老化,维持相对湿度50%-60%\n检修冷凝水管保温层\n继续执行避光保存\n复核库房防潮和防水措施,2025-04
1007,P006,装裱修复室E区 | 纸质文物修复 | 技术用房,装裱修复室,本月巡检:5次\n通风设施:运行正常\n易燃试剂台账:已更新\n日用量抽查:基本符合要求,少量清洗试剂临时放置时间偏长\n废弃擦拭材料回收桶标识不够醒目\n未见明火作业,严格执行试剂限量领用\n完善废弃材料回收标识\n保持通风设施运行\n修复操作后及时清理工作台面,2025-04
1007,P007,博物馆陈列展览厅F区 | 临时展览 | 多媒体展示,陈列展览厅,本月巡检:4次\n疏散通道:基本畅通\n应急照明:抽测正常\n展柜照明:冷光源,临展布线局部整理不足\n一处宣传灯箱距装饰材料较近\n展厅高峰时段局部拥堵,规范临时电气线路敷设\n调整灯箱与可燃装饰材料距离\n高峰时段加强限流和疏导\n复核疏散指示标志可见性,2025-04
1007,P008,石刻展区G区 | 室外石刻 | 防护棚展示,石刻,本月巡检:3次\n防护棚排水:基本正常\n表面污染:轻微\n周边植被:已修剪,局部排水沟有落叶堆积\n石刻表面存在轻微风化痕迹\n未见人为刻划新增痕迹,清理排水沟落叶\n继续观察石刻风化趋势\n加强周边巡查和标识提醒\n避免直接接触石刻表面使用化学材料,2025-04
1007,P009,馆藏金属器展柜H区 | 青铜器 | 恒湿展柜,金属器,温度:20℃\n相对湿度:42%\n展柜密封:正常\n本月巡检:4次,展柜内湿度处于推荐范围\n个别展托材料老化\n未见新增锈蚀点,保持相对湿度40%-50%\n更换老化展托材料\n定期复核展柜密封性\n持续记录金属表面状态,2025-04
1007,P010,文物建筑周边环境I区 | 古建筑群 | 室外保护范围,文物建筑周边环境,本月巡检:5次\n消防车通道:局部临停1次\n室外消火栓:抽查正常\n防火间距:基本未占用,周边个别区域临时堆放木料\n消防车通道偶发临时停车\n防火提示标识有褪色,清理保护范围内临时木料\n加强消防车通道巡查\n更新褪色防火提示标识\n节假日前开展专项检查,2025-04
1008,P001,壁画展厅A区 | 馆藏壁画 | 恒温恒湿展柜,壁画,温度:20℃\n相对湿度:46%\n光照:46Lx\n本月巡检:4次,局部表面轻微积尘\n展柜密封条老化迹象\n未发现渗水和明显起甲,清洁展柜内部积尘\n复核展柜密封条\n保持湿度40%-50%稳定\n下月重点观察起甲、粉化和水渍痕迹,2025-04
1008,P002,木质文物库房B区 | 馆藏木器 | 密集柜存放,木质文物,温度:20℃\n相对湿度:56%\n本月巡检:3次\n虫害诱捕板:未见集中异常,库房角落有轻微积尘\n一组密集柜通风间距偏小\n未发现霉斑和新鲜虫蛀孔,保持相对湿度50%-60%\n清理柜体周边积尘\n优化密集柜通风间距\n继续进行防虫、防霉监测,2025-04
1008,P003,泥质佛像展厅C区 | 彩绘泥塑 | 半开放展陈,泥质佛像雕塑,温度:20℃\n相对湿度:47%\n光照:48Lx\n本月巡检:4次,表面存在少量积尘\n底座附近未见新增水渍\n一处细小裂隙需持续观察,避免阳光直射和强光照射\n保持湿度40%-50%稳定\n对裂隙和起甲部位建立影像记录\n必要时请修复人员复核,2025-04
1008,P004,文物建筑正殿 | 木结构建筑 | 游客开放区,文物建筑,本月巡检:6次\n消防通道:畅通\n灭火器压力:正常\n微型消防站检查:1次,香火区周边临时堆放少量杂物\n局部可燃织物靠近照明线路\n演练记录填写不完整,清理香火区周边杂物\n调整织物与照明线路安全距离\n补齐微型消防站演练记录\n加强明火使用现场看护,2025-04
1008,P005,博物馆藏品库D区 | 纸质书画 | 独立库房,纸质书画,温度:20℃\n相对湿度:53%\n光照:常闭避光\n本月巡检:4次,门禁记录完整\n库房未见渗漏\n一处空调冷凝水管保温层老化,维持相对湿度50%-60%\n检修冷凝水管保温层\n继续执行避光保存\n复核库房防潮和防水措施,2025-04
1008,P006,装裱修复室E区 | 纸质文物修复 | 技术用房,装裱修复室,本月巡检:5次\n通风设施:运行正常\n易燃试剂台账:已更新\n日用量抽查:基本符合要求,少量清洗试剂临时放置时间偏长\n废弃擦拭材料回收桶标识不够醒目\n未见明火作业,严格执行试剂限量领用\n完善废弃材料回收标识\n保持通风设施运行\n修复操作后及时清理工作台面,2025-04
1008,P007,博物馆陈列展览厅F区 | 临时展览 | 多媒体展示,陈列展览厅,本月巡检:4次\n疏散通道:基本畅通\n应急照明:抽测正常\n展柜照明:冷光源,临展布线局部整理不足\n一处宣传灯箱距装饰材料较近\n展厅高峰时段局部拥堵,规范临时电气线路敷设\n调整灯箱与可燃装饰材料距离\n高峰时段加强限流和疏导\n复核疏散指示标志可见性,2025-04
1008,P008,石刻展区G区 | 室外石刻 | 防护棚展示,石刻,本月巡检:3次\n防护棚排水:基本正常\n表面污染:轻微\n周边植被:已修剪,局部排水沟有落叶堆积\n石刻表面存在轻微风化痕迹\n未见人为刻划新增痕迹,清理排水沟落叶\n继续观察石刻风化趋势\n加强周边巡查和标识提醒\n避免直接接触石刻表面使用化学材料,2025-04
1008,P009,馆藏金属器展柜H区 | 青铜器 | 恒湿展柜,金属器,温度:20℃\n相对湿度:42%\n展柜密封:正常\n本月巡检:4次,展柜内湿度处于推荐范围\n个别展托材料老化\n未见新增锈蚀点,保持相对湿度40%-50%\n更换老化展托材料\n定期复核展柜密封性\n持续记录金属表面状态,2025-04
1008,P010,文物建筑周边环境I区 | 古建筑群 | 室外保护范围,文物建筑周边环境,本月巡检:5次\n消防车通道:局部临停1次\n室外消火栓:抽查正常\n防火间距:基本未占用,周边个别区域临时堆放木料\n消防车通道偶发临时停车\n防火提示标识有褪色,清理保护范围内临时木料\n加强消防车通道巡查\n更新褪色防火提示标识\n节假日前开展专项检查,2025-04
1009,P001,壁画展厅A区 | 馆藏壁画 | 恒温恒湿展柜,壁画,温度:20℃\n相对湿度:46%\n光照:46Lx\n本月巡检:4次,局部表面轻微积尘\n展柜密封条老化迹象\n未发现渗水和明显起甲,清洁展柜内部积尘\n复核展柜密封条\n保持湿度40%-50%稳定\n下月重点观察起甲、粉化和水渍痕迹,2025-04
1009,P002,木质文物库房B区 | 馆藏木器 | 密集柜存放,木质文物,温度:20℃\n相对湿度:56%\n本月巡检:3次\n虫害诱捕板:未见集中异常,库房角落有轻微积尘\n一组密集柜通风间距偏小\n未发现霉斑和新鲜虫蛀孔,保持相对湿度50%-60%\n清理柜体周边积尘\n优化密集柜通风间距\n继续进行防虫、防霉监测,2025-04
1009,P003,泥质佛像展厅C区 | 彩绘泥塑 | 半开放展陈,泥质佛像雕塑,温度:20℃\n相对湿度:47%\n光照:48Lx\n本月巡检:4次,表面存在少量积尘\n底座附近未见新增水渍\n一处细小裂隙需持续观察,避免阳光直射和强光照射\n保持湿度40%-50%稳定\n对裂隙和起甲部位建立影像记录\n必要时请修复人员复核,2025-04
1009,P004,文物建筑正殿 | 木结构建筑 | 游客开放区,文物建筑,本月巡检:6次\n消防通道:畅通\n灭火器压力:正常\n微型消防站检查:1次,香火区周边临时堆放少量杂物\n局部可燃织物靠近照明线路\n演练记录填写不完整,清理香火区周边杂物\n调整织物与照明线路安全距离\n补齐微型消防站演练记录\n加强明火使用现场看护,2025-04
1009,P005,博物馆藏品库D区 | 纸质书画 | 独立库房,纸质书画,温度:20℃\n相对湿度:53%\n光照:常闭避光\n本月巡检:4次,门禁记录完整\n库房未见渗漏\n一处空调冷凝水管保温层老化,维持相对湿度50%-60%\n检修冷凝水管保温层\n继续执行避光保存\n复核库房防潮和防水措施,2025-04
1009,P006,装裱修复室E区 | 纸质文物修复 | 技术用房,装裱修复室,本月巡检:5次\n通风设施:运行正常\n易燃试剂台账:已更新\n日用量抽查:基本符合要求,少量清洗试剂临时放置时间偏长\n废弃擦拭材料回收桶标识不够醒目\n未见明火作业,严格执行试剂限量领用\n完善废弃材料回收标识\n保持通风设施运行\n修复操作后及时清理工作台面,2025-04
1009,P007,博物馆陈列展览厅F区 | 临时展览 | 多媒体展示,陈列展览厅,本月巡检:4次\n疏散通道:基本畅通\n应急照明:抽测正常\n展柜照明:冷光源,临展布线局部整理不足\n一处宣传灯箱距装饰材料较近\n展厅高峰时段局部拥堵,规范临时电气线路敷设\n调整灯箱与可燃装饰材料距离\n高峰时段加强限流和疏导\n复核疏散指示标志可见性,2025-04
1009,P008,石刻展区G区 | 室外石刻 | 防护棚展示,石刻,本月巡检:3次\n防护棚排水:基本正常\n表面污染:轻微\n周边植被:已修剪,局部排水沟有落叶堆积\n石刻表面存在轻微风化痕迹\n未见人为刻划新增痕迹,清理排水沟落叶\n继续观察石刻风化趋势\n加强周边巡查和标识提醒\n避免直接接触石刻表面使用化学材料,2025-04
1009,P009,馆藏金属器展柜H区 | 青铜器 | 恒湿展柜,金属器,温度:20℃\n相对湿度:42%\n展柜密封:正常\n本月巡检:4次,展柜内湿度处于推荐范围\n个别展托材料老化\n未见新增锈蚀点,保持相对湿度40%-50%\n更换老化展托材料\n定期复核展柜密封性\n持续记录金属表面状态,2025-04
1009,P010,文物建筑周边环境I区 | 古建筑群 | 室外保护范围,文物建筑周边环境,本月巡检:5次\n消防车通道:局部临停1次\n室外消火栓:抽查正常\n防火间距:基本未占用,周边个别区域临时堆放木料\n消防车通道偶发临时停车\n防火提示标识有褪色,清理保护范围内临时木料\n加强消防车通道巡查\n更新褪色防火提示标识\n节假日前开展专项检查,2025-04
1010,P001,壁画展厅A区 | 馆藏壁画 | 恒温恒湿展柜,壁画,温度:20℃\n相对湿度:46%\n光照:46Lx\n本月巡检:4次,局部表面轻微积尘\n展柜密封条老化迹象\n未发现渗水和明显起甲,清洁展柜内部积尘\n复核展柜密封条\n保持湿度40%-50%稳定\n下月重点观察起甲、粉化和水渍痕迹,2025-04
1010,P002,木质文物库房B区 | 馆藏木器 | 密集柜存放,木质文物,温度:20℃\n相对湿度:56%\n本月巡检:3次\n虫害诱捕板:未见集中异常,库房角落有轻微积尘\n一组密集柜通风间距偏小\n未发现霉斑和新鲜虫蛀孔,保持相对湿度50%-60%\n清理柜体周边积尘\n优化密集柜通风间距\n继续进行防虫、防霉监测,2025-04
1010,P003,泥质佛像展厅C区 | 彩绘泥塑 | 半开放展陈,泥质佛像雕塑,温度:20℃\n相对湿度:47%\n光照:48Lx\n本月巡检:4次,表面存在少量积尘\n底座附近未见新增水渍\n一处细小裂隙需持续观察,避免阳光直射和强光照射\n保持湿度40%-50%稳定\n对裂隙和起甲部位建立影像记录\n必要时请修复人员复核,2025-04
1010,P004,文物建筑正殿 | 木结构建筑 | 游客开放区,文物建筑,本月巡检:6次\n消防通道:畅通\n灭火器压力:正常\n微型消防站检查:1次,香火区周边临时堆放少量杂物\n局部可燃织物靠近照明线路\n演练记录填写不完整,清理香火区周边杂物\n调整织物与照明线路安全距离\n补齐微型消防站演练记录\n加强明火使用现场看护,2025-04
1010,P005,博物馆藏品库D区 | 纸质书画 | 独立库房,纸质书画,温度:20℃\n相对湿度:53%\n光照:常闭避光\n本月巡检:4次,门禁记录完整\n库房未见渗漏\n一处空调冷凝水管保温层老化,维持相对湿度50%-60%\n检修冷凝水管保温层\n继续执行避光保存\n复核库房防潮和防水措施,2025-04
1010,P006,装裱修复室E区 | 纸质文物修复 | 技术用房,装裱修复室,本月巡检:5次\n通风设施:运行正常\n易燃试剂台账:已更新\n日用量抽查:基本符合要求,少量清洗试剂临时放置时间偏长\n废弃擦拭材料回收桶标识不够醒目\n未见明火作业,严格执行试剂限量领用\n完善废弃材料回收标识\n保持通风设施运行\n修复操作后及时清理工作台面,2025-04
1010,P007,博物馆陈列展览厅F区 | 临时展览 | 多媒体展示,陈列展览厅,本月巡检:4次\n疏散通道:基本畅通\n应急照明:抽测正常\n展柜照明:冷光源,临展布线局部整理不足\n一处宣传灯箱距装饰材料较近\n展厅高峰时段局部拥堵,规范临时电气线路敷设\n调整灯箱与可燃装饰材料距离\n高峰时段加强限流和疏导\n复核疏散指示标志可见性,2025-04
1010,P008,石刻展区G区 | 室外石刻 | 防护棚展示,石刻,本月巡检:3次\n防护棚排水:基本正常\n表面污染:轻微\n周边植被:已修剪,局部排水沟有落叶堆积\n石刻表面存在轻微风化痕迹\n未见人为刻划新增痕迹,清理排水沟落叶\n继续观察石刻风化趋势\n加强周边巡查和标识提醒\n避免直接接触石刻表面使用化学材料,2025-04
1010,P009,馆藏金属器展柜H区 | 青铜器 | 恒湿展柜,金属器,温度:20℃\n相对湿度:42%\n展柜密封:正常\n本月巡检:4次,展柜内湿度处于推荐范围\n个别展托材料老化\n未见新增锈蚀点,保持相对湿度40%-50%\n更换老化展托材料\n定期复核展柜密封性\n持续记录金属表面状态,2025-04
1010,P010,文物建筑周边环境I区 | 古建筑群 | 室外保护范围,文物建筑周边环境,本月巡检:5次\n消防车通道:局部临停1次\n室外消火栓:抽查正常\n防火间距:基本未占用,周边个别区域临时堆放木料\n消防车通道偶发临时停车\n防火提示标识有褪色,清理保护范围内临时木料\n加强消防车通道巡查\n更新褪色防火提示标识\n节假日前开展专项检查,2025-04
1001,P001,壁画展厅A区 | 馆藏壁画 | 恒温恒湿展柜,壁画,温度:21℃\n相对湿度:47%\n光照:42Lx\n本月巡检:4次,局部表面轻微积尘\n展柜密封条老化迹象\n未发现渗水和明显起甲,清洁展柜内部积尘\n复核展柜密封条\n保持湿度40%-50%稳定\n下月重点观察起甲、粉化和水渍痕迹,2025-05
1001,P002,木质文物库房B区 | 馆藏木器 | 密集柜存放,木质文物,温度:21℃\n相对湿度:52%\n本月巡检:3次\n虫害诱捕板:未见集中异常,库房角落有轻微积尘\n一组密集柜通风间距偏小\n未发现霉斑和新鲜虫蛀孔,保持相对湿度50%-60%\n清理柜体周边积尘\n优化密集柜通风间距\n继续进行防虫、防霉监测,2025-05
1001,P003,泥质佛像展厅C区 | 彩绘泥塑 | 半开放展陈,泥质佛像雕塑,温度:21℃\n相对湿度:43%\n光照:49Lx\n本月巡检:4次,表面存在少量积尘\n底座附近未见新增水渍\n一处细小裂隙需持续观察,避免阳光直射和强光照射\n保持湿度40%-50%稳定\n对裂隙和起甲部位建立影像记录\n必要时请修复人员复核,2025-05
1001,P004,文物建筑正殿 | 木结构建筑 | 游客开放区,文物建筑,本月巡检:6次\n消防通道:畅通\n灭火器压力:正常\n微型消防站检查:1次,香火区周边临时堆放少量杂物\n局部可燃织物靠近照明线路\n演练记录填写不完整,清理香火区周边杂物\n调整织物与照明线路安全距离\n补齐微型消防站演练记录\n加强明火使用现场看护,2025-05
1001,P005,博物馆藏品库D区 | 纸质书画 | 独立库房,纸质书画,温度:21℃\n相对湿度:54%\n光照:常闭避光\n本月巡检:4次,门禁记录完整\n库房未见渗漏\n一处空调冷凝水管保温层老化,维持相对湿度50%-60%\n检修冷凝水管保温层\n继续执行避光保存\n复核库房防潮和防水措施,2025-05
1001,P006,装裱修复室E区 | 纸质文物修复 | 技术用房,装裱修复室,本月巡检:5次\n通风设施:运行正常\n易燃试剂台账:已更新\n日用量抽查:基本符合要求,少量清洗试剂临时放置时间偏长\n废弃擦拭材料回收桶标识不够醒目\n未见明火作业,严格执行试剂限量领用\n完善废弃材料回收标识\n保持通风设施运行\n修复操作后及时清理工作台面,2025-05
1001,P007,博物馆陈列展览厅F区 | 临时展览 | 多媒体展示,陈列展览厅,本月巡检:4次\n疏散通道:基本畅通\n应急照明:抽测正常\n展柜照明:冷光源,临展布线局部整理不足\n一处宣传灯箱距装饰材料较近\n展厅高峰时段局部拥堵,规范临时电气线路敷设\n调整灯箱与可燃装饰材料距离\n高峰时段加强限流和疏导\n复核疏散指示标志可见性,2025-05
1001,P008,石刻展区G区 | 室外石刻 | 防护棚展示,石刻,本月巡检:3次\n防护棚排水:基本正常\n表面污染:轻微\n周边植被:已修剪,局部排水沟有落叶堆积\n石刻表面存在轻微风化痕迹\n未见人为刻划新增痕迹,清理排水沟落叶\n继续观察石刻风化趋势\n加强周边巡查和标识提醒\n避免直接接触石刻表面使用化学材料,2025-05
1001,P009,馆藏金属器展柜H区 | 青铜器 | 恒湿展柜,金属器,温度:21℃\n相对湿度:43%\n展柜密封:正常\n本月巡检:4次,展柜内湿度处于推荐范围\n个别展托材料老化\n未见新增锈蚀点,保持相对湿度40%-50%\n更换老化展托材料\n定期复核展柜密封性\n持续记录金属表面状态,2025-05
1001,P010,文物建筑周边环境I区 | 古建筑群 | 室外保护范围,文物建筑周边环境,本月巡检:5次\n消防车通道:局部临停1次\n室外消火栓:抽查正常\n防火间距:基本未占用,周边个别区域临时堆放木料\n消防车通道偶发临时停车\n防火提示标识有褪色,清理保护范围内临时木料\n加强消防车通道巡查\n更新褪色防火提示标识\n节假日前开展专项检查,2025-05
